number,order,Sample ID,Assigned ID,Date,Year,Month,Monthies,Year.Month,Location,Region,Count,Identifier,mysid?,"If not, what?",Category,length,species ,gender,gravid?,comments,removed for reference,sample comments
723,50,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,3,LA,NO,SKELETON SHRIMP,amphipod,NA,,,,,,
724,51,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,4,LA,NO,SKELETON SHRIMP,amphipod,NA,,,,,,
725,52,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,5,LA,NO,SKELETON SHRIMP,amphipod,NA,,,,,,
726,53,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,6,LA,NO,TINY SNAILFISH,fish,NA,,,,,,
727,54,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,7,LA,NO,PORCELAIN CRAB ZOEA,crab,NA,,,,,,
728,55,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,8,LA,NO,TINY SCULPIN,fish,NA,,,,,,
729,56,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,9,LA,NO,ISOPOD,isopod,NA,,,,,,
730,57,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,10,LA,NO,TINY SNAIL,snail,NA,,,,,,
731,58,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,11,LA,NO,SKELETON SHRIMP,amphipod,NA,,,,,,
732,59,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,12,LA,NO,PORCELAIN CRAB ZOEA,crab,NA,,,,,,
733,60,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,13,LA,NO,SKELETON SHRIMP,amphipod,NA,,,,,,
734,61,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,14,LA,NO,ISOPOD,isopod,NA,,,,,,
735,62,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,15,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
736,63,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,16,LA,NO,TINY SNAIL,snail,NA,,,,,,
737,64,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,17,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
738,65,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,18,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
739,66,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,19,LA,NO,TINY FISH,fish,NA,,,,,,
740,67,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,20,LA,NO,HEPTACARPUS SHRIMP,shrimp,NA,,,,,,
741,68,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,21,LA,NO,TINY FISH,fish,NA,,,,,,
742,69,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,22,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
743,70,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,23,LA,NO,LITHODIDAE,crab,NA,,,,,,
744,71,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,24,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
745,72,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,25,LA,NO,HEPTACARPUS SHRIMP,shrimp,NA,,,,,,
746,73,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,26,LA,NO,HEPTACARPUS SHRIMP,shrimp,NA,,,,,,
747,74,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,27,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
748,75,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,28,LA,NO,ISOPOD,isopod,NA,,,,,,
749,76,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,29,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
750,77,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,30,LA,NO,TINY FISH,fish,NA,,,,,,
751,78,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,31,LA,NO,COPEPOD,copepod,NA,,,,,,
752,79,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,32,LA,NO,COPEPOD,copepod,NA,,,,,,
753,80,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,33,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
754,81,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,34,LA,NO,SKELETON SHRIMP,amphipod,NA,,,,,,
755,82,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,35,LA,NO,COPEPOD,copepod,NA,,,,,,
756,83,20190603-2,20190603-2,20190603,2019,6,Jun,2019_6,SEAL AND SAIL,Strait,36,LA,NO,GRAPSIDAE,crab,NA,,,,,,
548,84,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,1,LA,NO,BABY FISH,fish,NA,,,,"tiny tiny fish, not sure what. Saved in reference samples",,
549,85,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,2,LA,NO,BABY FISH,fish,NA,,,,saved another,,
550,86,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,3,LA,NO,BABY FISH,fish,NA,,,,saved another,,
551,87,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,4,LA,NO,BABY FISH,fish,NA,,,,,,
552,88,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,5,LA,NO,BABY FISH,fish,NA,,,,,,
553,89,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,6,LA,NO,BABY FISH,fish,NA,,,,,,
554,90,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,7,LA,NO,BABY FISH,fish,NA,,,,,,
555,91,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,8,LA,NO,BABY FISH,fish,NA,,,,,,
556,92,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,9,LA,NO,BABY FISH,fish,NA,,,,,,
557,93,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,10,LA,NO,BABY FISH,fish,NA,,,,,,
558,94,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,11,LA,NO,BABY FISH,fish,NA,,,,,,
559,95,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,12,LA,NO,BABY FISH,fish,NA,,,,,,
560,96,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,13,LA,NO,BABY FISH,fish,NA,,,,,,
561,97,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,14,LA,NO,BABY FISH,fish,NA,,,,,,
562,98,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,15,LA,NO,BABY FISH,fish,NA,,,,,,
563,99,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,16,LA,NO,HEPTACARPUS SHRIMP,shrimp,NA,,,,,,
564,100,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,17,LA,NO,HEPTACARPUS SHRIMP,shrimp,NA,,,,,,
565,101,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,18,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
566,102,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,19,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
567,103,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,20,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
568,104,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,21,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
569,105,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,22,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
570,106,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,23,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
571,107,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,24,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
572,108,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,25,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
573,109,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,26,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
574,110,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,27,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
575,111,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,28,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
576,112,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,29,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
577,113,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,30,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
578,114,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,31,LA,NO,TINY SNAIL,snail,NA,,,,,,
579,115,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,32,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
580,116,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,33,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
581,117,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,34,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
582,118,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,35,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
583,119,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,36,LA,NO,EVEN SMALLER FISH,fish,NA,,,,"even smaller than the other fish, but look similar, saved in separate vial",,
584,120,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,37,LA,NO,EVEN SMALLER FISH,fish,NA,,,,"even smaller than the other fish, but look similar, saved in separate vial",,
585,121,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,38,LA,NO,EVEN SMALLER FISH,fish,NA,,,,"even smaller than the other fish, but look similar, saved in separate vial",,
586,122,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,39,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
587,123,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,40,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
588,124,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,41,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
589,125,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,42,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
590,126,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,43,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
591,127,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,44,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
592,128,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,45,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
593,129,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,46,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
594,130,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,47,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
595,131,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,48,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
596,132,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,49,LA,NO,TINY SNAIL,snail,NA,,,,,,
597,133,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,50,LA,NO,TINY SNAIL,snail,NA,,,,,,
598,134,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,51,LA,NO,TINY SNAIL,snail,NA,,,,,,
599,135,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,52,LA,NO,TINY SNAIL,snail,NA,,,,,,
600,136,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,53,LA,NO,TINY SNAIL,snail,NA,,,,,,
601,137,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,54,LA,NO,TINY SNAIL,snail,NA,,,,,,
602,138,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,55,LA,NO,TINY SNAIL,snail,NA,,,,,,
603,139,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,56,LA,NO,TINY SNAIL,snail,NA,,,,,,
604,140,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,57,LA,NO,TINY SNAIL,snail,NA,,,,,,
605,141,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,58,LA,NO,TINY SNAIL,snail,NA,,,,,,
606,142,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,59,LA,NO,TINY SNAIL,snail,NA,,,,,,
607,143,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,60,LA,NO,TINY SNAIL,snail,NA,,,,,,
608,144,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,61,LA,NO,TINY SNAIL,snail,NA,,,,,,
609,145,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,62,LA,NO,TINY SNAIL,snail,NA,,,,,,
610,146,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,63,LA,NO,TINY SNAIL,snail,NA,,,,,,
611,147,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,64,LA,NO,TINY SNAIL,snail,NA,,,,,,
612,148,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,65,LA,NO,TINY SNAIL,snail,NA,,,,,,
613,149,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,66,LA,NO,TINY SNAIL,snail,NA,,,,,,
614,150,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,67,LA,NO,TINY SNAIL,snail,NA,,,,,,
615,151,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,68,LA,NO,TINY SNAIL,snail,NA,,,,,,
616,152,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,69,LA,NO,TINY SNAIL,snail,NA,,,,,,
617,153,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,70,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
618,154,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,71,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
619,155,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,72,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
620,156,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,73,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
621,157,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,74,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
622,158,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,75,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
623,159,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,76,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
624,160,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,77,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
625,161,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,78,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
626,162,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,79,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
627,163,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,80,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
628,164,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,81,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
629,165,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,82,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
630,166,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,83,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
631,167,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,84,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
632,168,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,85,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
633,169,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,86,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
634,170,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,87,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
635,171,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,88,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
636,172,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,89,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
637,173,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,90,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
638,174,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,91,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
639,175,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,92,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
640,176,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,93,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
641,177,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,94,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
642,178,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,95,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
643,179,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,96,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
644,180,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,97,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
645,181,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,98,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
646,182,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,99,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
647,183,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,100,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
648,184,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,101,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
649,185,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,102,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
650,186,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,103,LA,NO,AMPHIPOD,amphipod,NA,,,,,,
651,187,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,104,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
652,188,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,105,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
653,189,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,106,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
654,190,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,107,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
655,191,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,108,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
656,192,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,109,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
657,193,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,110,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
658,194,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,111,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
659,195,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,112,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
660,196,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,113,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
661,197,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,114,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
662,198,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,115,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
663,199,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,116,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
664,200,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,117,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
665,201,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,118,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
666,202,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,119,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
667,203,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,120,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
668,204,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,121,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
669,205,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,122,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
670,206,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,123,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
671,207,20190603-3,20190603-3,20190603,2019,6,Jun,2019_6,SAIL RIVER,Strait,124,LA,NO,PINNOTHERIDAE ZOEA,crab,NA,,,,,,
